,avg_d_mbps,avg_u_mbps,tests,devices,long,lat,location
93,108.841,40.7,57,12,144.341125488281,-38.175591822830505,POINT (144.341125488281 -38.1755918228305)
769,147.981,22.226,44,11,149.235534667969,-35.36889534403175,POINT (149.235534667969 -35.36889534403175)
1518,107.849,30.202,63,6,143.8632202148435,-37.5772357592942,POINT (143.8632202148435 -37.5772357592942)
1926,122.392,28.278,56,12,144.379577636719,-38.1669547358861,POINT (144.379577636719 -38.1669547358861)
2106,110.708,31.25,61,19,144.3466186523435,-38.13239615404856,POINT (144.3466186523435 -38.13239615404856)
2350,107.211,18.856,95,28,150.9164428710935,-33.68549634250975,POINT (150.9164428710935 -33.68549634250975)
2550,103.326,26.935,166,21,144.319152832031,-38.12375395045035,POINT (144.319152832031 -38.12375395045035)
3092,142.536,20.985,73,13,151.58660888671898,-32.9141796317638,POINT (151.586608886719 -32.9141796317638)
3279,100.07,24.355,69,21,145.258483886719,-37.981009937005254,POINT (145.258483886719 -37.98100993700525)
3359,109.505,32.062,41,14,144.34112548828102,-38.08052758740255,POINT (144.341125488281 -38.08052758740255)
3390,150.971,29.57,18,8,144.3301391601565,-38.102143965537294,POINT (144.3301391601565 -38.10214396553729)
3702,107.35,22.036,64,17,152.9818725585935,-27.23753663980185,POINT (152.9818725585935 -27.23753663980185)
4267,164.267,27.955,82,18,144.3301391601565,-38.17127340729815,POINT (144.3301391601565 -38.17127340729815)
5152,163.435,35.545,59,19,144.3301391601565,-38.093498181403646,POINT (144.3301391601565 -38.09349818140365)
5599,123.446,34.811,52,8,151.98211669921898,-27.569156145893004,POINT (151.982116699219 -27.569156145893)
5789,126.472,23.763,10,4,144.3521118164065,-38.0891749057672,POINT (144.3521118164065 -38.0891749057672)
5961,125.743,31.726,11,4,144.32464599609352,-38.162635808603746,POINT (144.3246459960935 -38.16263580860375)
6107,157.197,32.476,37,8,143.83575439453097,-37.59029513870115,POINT (143.835754394531 -37.59029513870115)
6215,115.865,165.987,13,8,145.220031738281,-37.916034307845145,POINT (145.220031738281 -37.91603430784514)
6669,114.619,16.226,3,3,144.319152832031,-38.11511072374749,POINT (144.319152832031 -38.11511072374749)
7381,141.892,28.726,102,34,145.0991821289065,-37.642509742612695,POINT (145.0991821289065 -37.6425097426127)
7476,107.101,26.332,66,23,144.3301391601565,-38.20581356614045,POINT (144.3301391601565 -38.20581356614045)
7533,123.45,32.709,27,6,138.5897827148435,-35.20298907461925,POINT (138.5897827148435 -35.20298907461925)
7562,106.91,16.281,24,8,115.6942749023435,-32.55838858362275,POINT (115.6942749023435 -32.55838858362275)
7642,122.854,33.366,72,21,144.33013916015653,-38.1151107237475,POINT (144.3301391601565 -38.1151107237475)
8063,106.873,31.592,9,6,144.36859130859347,-38.1842278862188,POINT (144.3685913085935 -38.1842278862188)
8286,107.364,28.073,326,33,144.3466186523435,-38.15399718646586,POINT (144.3466186523435 -38.15399718646586)
8373,144.521,30.109,60,10,144.34112548828097,-38.149677491629,POINT (144.341125488281 -38.149677491629)
8482,154.693,33.528,63,5,146.554870605469,-38.179909982473845,POINT (146.554870605469 -38.17990998247384)
8582,114.326,23.402,248,30,150.8505249023435,-33.7220552182895,POINT (150.8505249023435 -33.7220552182895)
8612,108.401,21.655,4,4,115.7601928710935,-32.0290347891368,POINT (115.7601928710935 -32.0290347891368)
8733,104.946,25.584,21,15,143.8467407226565,-37.551110128299406,POINT (143.8467407226565 -37.55111012829941)
8773,116.694,28.319,163,24,144.3246459960935,-38.1151107237475,POINT (144.3246459960935 -38.1151107237475)
9009,119.893,26.987,55,15,144.3521118164065,-38.12375395045036,POINT (144.3521118164065 -38.12375395045036)
9129,109.775,54.641,67,15,145.1431274414065,-38.00265570861804,POINT (145.1431274414065 -38.00265570861804)
9184,110.397,86.553,8,5,150.91094970703102,-33.68549634250975,POINT (150.910949707031 -33.68549634250975)
9269,144.346,25.13,84,22,144.357604980469,-38.240337343900954,POINT (144.357604980469 -38.24033734390095)
9303,108.58,15.462,7,3,146.780090332031,-19.298182570331598,POINT (146.780090332031 -19.2981825703316)
9330,106.4,24.476,144,29,144.335632324219,-38.149677491629,POINT (144.335632324219 -38.149677491629)
9352,114.189,21.174,17,6,130.9927368164065,-12.508984017147897,POINT (130.9927368164065 -12.5089840171479)
10108,101.013,29.533,11,5,143.8247680664065,-37.559819689969345,POINT (143.8247680664065 -37.55981968996934)
10254,119.239,25.172,153,16,150.471496582031,-34.449953584661955,POINT (150.471496582031 -34.44995358466196)
10260,136.197,22.938,18,9,151.1361694335935,-33.7905611549459,POINT (151.1361694335935 -33.7905611549459)
10755,211.825,25.968,5,2,144.3740844726565,-38.0718792463122,POINT (144.3740844726565 -38.0718792463122)
10863,139.629,17.524,252,6,144.5443725585935,-38.257593088387154,POINT (144.5443725585935 -38.25759308838715)
11245,107.101,26.572,88,19,151.5316772460935,-32.76649092999125,POINT (151.5316772460935 -32.76649092999125)
11276,115.692,23.59,26,13,151.125183105469,-33.7768643475017,POINT (151.125183105469 -33.7768643475017)
11316,114.99,24.829,51,16,138.5018920898435,-35.1670727710308,POINT (138.5018920898435 -35.1670727710308)
11424,126.563,28.521,59,21,144.3246459960935,-38.13239615404856,POINT (144.3246459960935 -38.13239615404856)
11638,112.024,25.993,34,7,143.808288574219,-37.5206186470691,POINT (143.808288574219 -37.5206186470691)
11984,136.798,31.673,60,19,150.76812744140648,-34.4907116201554,POINT (150.7681274414065 -34.4907116201554)
12131,128.626,30.062,84,13,144.3246459960935,-38.1669547358861,POINT (144.3246459960935 -38.1669547358861)
12411,110.902,108.972,575,26,151.125183105469,-33.781430193379656,POINT (151.125183105469 -33.78143019337966)
12447,117.063,21.46,73,11,144.401550292969,-38.16263580860375,POINT (144.401550292969 -38.16263580860375)
12570,112.21,31.901,9,4,145.1596069335935,-38.149677491629,POINT (145.1596069335935 -38.149677491629)
12663,152.489,32.917,61,14,144.42352294921898,-38.0242950924993,POINT (144.423522949219 -38.0242950924993)
12669,125.541,20.549,307,10,150.795593261719,-33.9456384224676,POINT (150.795593261719 -33.9456384224676)
13123,120.809,30.45,33,15,144.3521118164065,-38.17990998247385,POINT (144.3521118164065 -38.17990998247385)
13615,145.49,28.304,237,44,144.3740844726565,-38.15831662546056,POINT (144.3740844726565 -38.15831662546056)
13697,130.02,44.484,16,6,143.8412475585935,-37.555465036376454,POINT (143.8412475585935 -37.55546503637645)
13758,103.383,27.876,56,17,144.341125488281,-38.179909982473845,POINT (144.341125488281 -38.17990998247384)
14069,116.849,53.476,14,2,115.600891113281,-31.487235552695996,POINT (115.600891113281 -31.487235552696)
14109,117.376,102.644,26,12,145.0277709960935,-37.96368872135775,POINT (145.0277709960935 -37.96368872135775)
